angulo,timestamp,posicao_correlacao_maxima
0,2026-07-09T10:01:15.413,0
0,2026-07-09T10:01:16.311,6
0,2026-07-09T10:01:17.206,0
0,2026-07-09T10:01:18.120,5
0,2026-07-09T10:01:18.990,11
0,2026-07-09T10:01:19.958,0
0,2026-07-09T10:01:20.832,12
0,2026-07-09T10:01:21.783,5
0,2026-07-09T10:01:23.000,0
0,2026-07-09T10:01:23.890,1
0,2026-07-09T10:01:24.730,46
0,2026-07-09T10:01:25.905,0
0,2026-07-09T10:01:26.836,0
0,2026-07-09T10:01:27.711,12
0,2026-07-09T10:01:28.931,1
0,2026-07-09T10:01:29.875,1
0,2026-07-09T10:01:30.781,1
0,2026-07-09T10:01:31.716,0
0,2026-07-09T10:01:32.992,6
0,2026-07-09T10:01:33.899,6
0,2026-07-09T10:01:34.802,12
0,2026-07-09T10:01:35.700,12
0,2026-07-09T10:01:36.946,0
0,2026-07-09T10:01:37.848,0
0,2026-07-09T10:01:38.796,0
0,2026-07-09T10:01:39.690,0
0,2026-07-09T10:01:40.928,0
0,2026-07-09T10:01:41.843,250
0,2026-07-09T10:01:43.150,1
0,2026-07-09T10:01:44.011,1
0,2026-07-09T10:01:44.928,1
0,2026-07-09T10:01:45.834,1
0,2026-07-09T10:01:47.127,1
0,2026-07-09T10:01:48.068,1
0,2026-07-09T10:01:49.020,1
0,2026-07-09T10:01:49.942,1
0,2026-07-09T10:01:50.858,1
0,2026-07-09T10:01:51.809,1
0,2026-07-09T10:01:53.011,1
0,2026-07-09T10:01:53.959,1
0,2026-07-09T10:01:54.883,1
0,2026-07-09T10:01:56.167,1
0,2026-07-09T10:01:57.087,1
0,2026-07-09T10:01:58.357,1
0,2026-07-09T10:01:59.276,0
0,2026-07-09T10:02:00.162,0
0,2026-07-09T10:02:01.394,1
0,2026-07-09T10:02:02.327,1
0,2026-07-09T10:02:03.203,1
0,2026-07-09T10:02:04.424,1
0,2026-07-09T10:02:05.305,1
0,2026-07-09T10:02:06.187,1
0,2026-07-09T10:02:07.077,1
0,2026-07-09T10:02:08.320,1
0,2026-07-09T10:02:09.244,1
0,2026-07-09T10:02:10.104,1
0,2026-07-09T10:02:10.970,1
0,2026-07-09T10:02:11.904,1
0,2026-07-09T10:02:13.169,1
0,2026-07-09T10:02:14.057,0
0,2026-07-09T10:02:14.954,2
0,2026-07-09T10:02:15.864,1
0,2026-07-09T10:02:17.097,1
0,2026-07-09T10:02:18.041,1
0,2026-07-09T10:02:18.924,1
0,2026-07-09T10:02:20.188,2
0,2026-07-09T10:02:21.089,1
0,2026-07-09T10:02:21.998,0
0,2026-07-09T10:02:23.263,2
0,2026-07-09T10:02:24.161,2
0,2026-07-09T10:02:25.039,8
0,2026-07-09T10:02:26.314,0
0,2026-07-09T10:02:27.181,2
0,2026-07-09T10:02:28.080,2
0,2026-07-09T10:02:28.931,9
0,2026-07-09T10:02:30.198,0
0,2026-07-09T10:02:31.079,2
0,2026-07-09T10:02:31.988,0
